,close,vol
24/8/2023 00:00,1.0856,0.121546562
24/8/2023 04:00,1.0843,0.118898729
24/8/2023 08:00,1.0825,0.121115815
24/8/2023 12:00,1.0806,0.128152598
24/8/2023 16:00,1.0798,0.135623895
24/8/2023 20:00,1.078,0.145565009
25/8/2023 00:00,1.0771,0.155088398
25/8/2023 04:00,1.0803,0.156404679
25/8/2023 08:00,1.0786,0.1602584
25/8/2023 12:00,1.0802,0.163150984
25/8/2023 16:00,1.0796,0.166639651
25/8/2023 20:00,1.079618182,0.169317536
26/8/2023 00:00,1.079636364,0.169557758
26/8/2023 04:00,1.079654545,0.170510896
26/8/2023 08:00,1.079672727,0.172178109
26/8/2023 12:00,1.079690909,0.175421596
26/8/2023 16:00,1.079709091,0.178334666
26/8/2023 20:00,1.079727273,0.181367327
27/8/2023 00:00,1.079745455,0.183498015
27/8/2023 04:00,1.079763636,0.18420493
27/8/2023 08:00,1.079781818,0.186122915
27/8/2023 12:00,1.0798,0.187966349
27/8/2023 16:00,1.0797,0.1894953
27/8/2023 20:00,1.0809,0.189150104
28/8/2023 00:00,1.0809,0.189465916
28/8/2023 04:00,1.0805,0.190387416
28/8/2023 08:00,1.0809,0.190382136
28/8/2023 12:00,1.0818,0.189904252
28/8/2023 16:00,1.0826,0.188994897
28/8/2023 20:00,1.0836,0.187859682
29/8/2023 00:00,1.082,0.186985846
29/8/2023 04:00,1.0804,0.186801984
29/8/2023 08:00,1.085,0.185650928
29/8/2023 12:00,1.0885,0.186672599
29/8/2023 16:00,1.0869,0.186396931
29/8/2023 20:00,1.0869,0.186120322
30/8/2023 00:00,1.0865,0.185596271
30/8/2023 04:00,1.0879,0.186073449
30/8/2023 08:00,1.0925,0.192430784
30/8/2023 12:00,1.0922,0.198019897
30/8/2023 16:00,1.093,0.20452417
30/8/2023 20:00,1.0921,0.208964762
31/8/2023 00:00,1.0893,0.209416862
31/8/2023 04:00,1.0868,0.205678668
31/8/2023 08:00,1.0839,0.203453676
31/8/2023 12:00,1.0844,0.200359514
31/8/2023 16:00,1.0842,0.196877992
31/8/2023 20:00,1.0842,0.190890586
1/9/2023 00:00,1.0856,0.183033874
1/9/2023 04:00,1.0834,0.180320368
1/9/2023 08:00,1.0787,0.182258224
1/9/2023 12:00,1.0775,0.185263979
1/9/2023 16:00,1.078,0.187506723
1/9/2023 20:00,1.078027273,0.189090948
2/9/2023 00:00,1.078054545,0.191202978
2/9/2023 04:00,1.078081818,0.193081083
2/9/2023 08:00,1.078109091,0.193941882
2/9/2023 12:00,1.078136364,0.194356604
2/9/2023 16:00,1.078163636,0.194372227
2/9/2023 20:00,1.078190909,0.194223832
3/9/2023 00:00,1.078218182,0.194522854
3/9/2023 04:00,1.078245455,0.195371913
3/9/2023 08:00,1.078272727,0.196602618
3/9/2023 12:00,1.0783,0.197650327
3/9/2023 16:00,1.0776,0.198939996
3/9/2023 20:00,1.0786,0.198545731
4/9/2023 00:00,1.0795,0.196949469
4/9/2023 04:00,1.08,0.197046176
4/9/2023 08:00,1.0799,0.196403727
4/9/2023 12:00,1.0794,0.196716951
4/9/2023 16:00,1.0792,0.196902786
4/9/2023 20:00,1.0788,0.197310183
5/9/2023 00:00,1.0756,0.200469944
5/9/2023 04:00,1.0733,0.20655343
5/9/2023 08:00,1.0726,0.213402284
5/9/2023 12:00,1.0722,0.220511868
5/9/2023 16:00,1.0725,0.226811971
5/9/2023 20:00,1.0734,0.23162147
6/9/2023 00:00,1.0729,0.236855549
6/9/2023 04:00,1.0744,0.240164611
6/9/2023 08:00,1.0713,0.247129123
6/9/2023 12:00,1.0727,0.251935464
6/9/2023 16:00,1.0724,0.256867818
6/9/2023 20:00,1.073,0.260949857
7/9/2023 00:00,1.0715,0.266519595
7/9/2023 04:00,1.0705,0.273052611
7/9/2023 08:00,1.0703,0.279428856
7/9/2023 12:00,1.0695,0.286266142
7/9/2023 16:00,1.0698,0.291979387
7/9/2023 20:00,1.0717,0.294721105
8/9/2023 00:00,1.0709,0.298650061
8/9/2023 04:00,1.0699,0.303760104
8/9/2023 08:00,1.0709,0.305382552
8/9/2023 12:00,1.0699,0.304072249
8/9/2023 16:00,1.07,0.303815984
8/9/2023 20:00,1.070181818,0.302802773
9/9/2023 00:00,1.070363636,0.301494582
9/9/2023 04:00,1.070545455,0.297775465
9/9/2023 08:00,1.070727273,0.285451394
9/9/2023 12:00,1.070909091,0.271992674
9/9/2023 16:00,1.071090909,0.254707121
9/9/2023 20:00,1.071272727,0.237119246
10/9/2023 00:00,1.071454545,0.223877484
10/9/2023 04:00,1.071636364,0.214311065
10/9/2023 08:00,1.071818182,0.208817249
10/9/2023 12:00,1.072,0.201785056
10/9/2023 16:00,1.0717,0.194540297
10/9/2023 20:00,1.0723,0.186192938
11/9/2023 00:00,1.0726,0.173710508
11/9/2023 04:00,1.072,0.165071305
11/9/2023 08:00,1.0743,0.162689448
11/9/2023 12:00,1.0749,0.161410011
11/9/2023 16:00,1.0748,0.159636591
11/9/2023 20:00,1.0746,0.157740216
12/9/2023 00:00,1.0713,0.156441033
12/9/2023 04:00,1.0718,0.154662785
12/9/2023 08:00,1.0726,0.152400967
12/9/2023 12:00,1.0728,0.149908258
12/9/2023 16:00,1.0753,0.147597218
12/9/2023 20:00,1.0747,0.144938869
13/9/2023 00:00,1.0743,0.142023516
13/9/2023 04:00,1.0737,0.13882716
13/9/2023 08:00,1.0736,0.135410904
13/9/2023 12:00,1.0732,0.13173194
13/9/2023 16:00,1.0733,0.128823219
13/9/2023 20:00,1.0745,0.124565941
14/9/2023 00:00,1.0733,0.117961561
14/9/2023 04:00,1.0731,0.109542637
14/9/2023 08:00,1.0659,0.1082862
14/9/2023 12:00,1.0643,0.111067109
14/9/2023 16:00,1.0635,0.11512495
14/9/2023 20:00,1.0647,0.11575589
15/9/2023 00:00,1.0664,0.117788367
15/9/2023 04:00,1.0655,0.12296743
15/9/2023 08:00,1.0672,0.125457891
15/9/2023 12:00,1.066,0.129513545
15/9/2023 16:00,1.0657,0.133615935
15/9/2023 20:00,1.065736364,0.136875273
16/9/2023 00:00,1.065772727,0.140043564
16/9/2023 04:00,1.065809091,0.141761327
16/9/2023 08:00,1.065845455,0.144832687
16/9/2023 12:00,1.065881818,0.147178513
